,year,building_type,sq_ft,sq_ft_classification,ghgi,max_size,min_size
326,2029,Other,>50-90K Buildings,C,2.13,90000,50000
327,2029,Other,>30-50K Buildings,D,2.13,50000,30000
328,2029,Other,>20-30K Buildings,E,,50000,20000
329,2029,Other,<20k buildings,F,,20000,0
330,2029,Recreation,>220K Buildings,A,3.25,1000000,220000
331,2029,Recreation,>90-220K Buildings,B,3.25,220000,90000
332,2029,Recreation,>50-90K Buildings,C,3.25,90000,50000
333,2029,Recreation,>30-50K Buildings,D,3.25,50000,30000
334,2029,Recreation,>20-30K Buildings,E,,50000,20000
335,2029,Recreation,<20k buildings,F,,20000,0
336,2029,Refrigerated Warehouse,>220K Buildings,A,0.38,1000000,220000
337,2029,Refrigerated Warehouse,>90-220K Buildings,B,0.38,220000,90000
338,2029,Refrigerated Warehouse,>50-90K Buildings,C,0.38,90000,50000
339,2029,Refrigerated Warehouse,>30-50K Buildings,D,0.38,50000,30000
340,2029,Refrigerated Warehouse,>20-30K Buildings,E,,50000,20000
341,2029,Refrigerated Warehouse,<20k buildings,F,,20000,0
342,2029,Residence Hall/Dormitory,>220K Buildings,A,1.18,1000000,220000
343,2029,Residence Hall/Dormitory,>90-220K Buildings,B,1.18,220000,90000
344,2029,Residence Hall/Dormitory,>50-90K Buildings,C,1.18,90000,50000
345,2029,Residence Hall/Dormitory,>30-50K Buildings,D,1.18,50000,30000
346,2029,Residence Hall/Dormitory,>20-30K Buildings,E,,50000,20000
347,2029,Residence Hall/Dormitory,<20k buildings,F,,20000,0
348,2029,Restaurant,>220K Buildings,A,5.85,1000000,220000
349,2029,Restaurant,>90-220K Buildings,B,5.85,220000,90000
350,2029,Restaurant,>50-90K Buildings,C,5.85,90000,50000
351,2029,Restaurant,>30-50K Buildings,D,5.85,50000,30000
352,2029,Restaurant,>20-30K Buildings,E,,50000,20000
353,2029,Restaurant,<20k buildings,F,,20000,0
354,2029,Retail Store,>220K Buildings,A,0.91,1000000,220000
355,2029,Retail Store,>90-220K Buildings,B,0.91,220000,90000
356,2029,Retail Store,>50-90K Buildings,C,0.91,90000,50000
357,2029,Retail Store,>30-50K Buildings,D,0.91,50000,30000
358,2029,Retail Store,>20-30K Buildings,E,,50000,20000
359,2029,Retail Store,<20k buildings,F,,20000,0
360,2029,Self-Storage Facility,>220K Buildings,A,0.25,1000000,220000
361,2029,Self-Storage Facility,>90-220K Buildings,B,0.25,220000,90000
362,2029,Self-Storage Facility,>50-90K Buildings,C,0.25,90000,50000
363,2029,Self-Storage Facility,>30-50K Buildings,D,0.25,50000,30000
364,2029,Self-Storage Facility,>20-30K Buildings,E,,50000,20000
365,2029,Self-Storage Facility,<20k buildings,F,,20000,0
366,2029,Senior Living Community,>220K Buildings,A,2.12,1000000,220000
367,2029,Senior Living Community,>90-220K Buildings,B,2.12,220000,90000
368,2029,Senior Living Community,>50-90K Buildings,C,2.12,90000,50000
369,2029,Senior Living Community,>30-50K Buildings,D,2.12,50000,30000
370,2029,Senior Living Community,>20-30K Buildings,E,,50000,20000
371,2029,Senior Living Community,<20k buildings,F,,20000,0
372,2029,Services,>220K Buildings,A,1.46,1000000,220000
373,2029,Services,>90-220K Buildings,B,1.46,220000,90000
374,2029,Services,>50-90K Buildings,C,1.46,90000,50000
375,2029,Services,>30-50K Buildings,D,1.46,50000,30000
376,2029,Services,>20-30K Buildings,E,,50000,20000
377,2029,Services,<20k buildings,F,,20000,0
378,2029,Supermarket/Grocery Store,>220K Buildings,A,3.54,1000000,220000
379,2029,Supermarket/Grocery Store,>90-220K Buildings,B,3.54,220000,90000
380,2029,Supermarket/Grocery Store,>50-90K Buildings,C,3.54,90000,50000
381,2029,Supermarket/Grocery Store,>30-50K Buildings,D,3.54,50000,30000
382,2029,Supermarket/Grocery Store,>20-30K Buildings,E,,50000,20000
383,2029,Supermarket/Grocery Store,<20k buildings,F,,20000,0
384,2029,Worship Facility,>220K Buildings,A,1.19,1000000,220000
385,2029,Worship Facility,>90-220K Buildings,B,1.19,220000,90000
386,2029,Worship Facility,>50-90K Buildings,C,1.19,90000,50000
387,2029,Worship Facility,>30-50K Buildings,D,1.19,50000,30000
388,2029,Worship Facility,>20-30K Buildings,E,,50000,20000
389,2029,Worship Facility,<20k buildings,F,,20000,0
390,2029,nan,>220K Buildings,A,,1000000,220000
391,2029,nan,>90-220K Buildings,B,,220000,90000
392,2029,nan,>50-90K Buildings,C,,90000,50000
393,2029,nan,>30-50K Buildings,D,,50000,30000
394,2029,nan,>20-30K Buildings,E,,50000,20000
395,2029,nan,<20k buildings,F,,20000,0
396,2030,College/University,>220K Buildings,A,2.83,1000000,220000
397,2030,College/University,>90-220K Buildings,B,2.83,220000,90000
398,2030,College/University,>50-90K Buildings,C,2.83,90000,50000
399,2030,College/University,>30-50K Buildings,D,2.83,50000,30000
400,2030,College/University,>20-30K Buildings,E,2.83,50000,20000
401,2030,College/University,<20k buildings,F,,20000,0
402,2030,Entertainment/Public Assembly,>220K Buildings,A,1.25,1000000,220000
403,2030,Entertainment/Public Assembly,>90-220K Buildings,B,1.25,220000,90000
404,2030,Entertainment/Public Assembly,>50-90K Buildings,C,1.25,90000,50000
405,2030,Entertainment/Public Assembly,>30-50K Buildings,D,1.25,50000,30000
406,2030,Entertainment/Public Assembly,>20-30K Buildings,E,1.25,50000,20000
407,2030,Entertainment/Public Assembly,<20k buildings,F,,20000,0
408,2030,Fire/Police Station,>220K Buildings,A,2.44,1000000,220000
409,2030,Fire/Police Station,>90-220K Buildings,B,2.44,220000,90000
410,2030,Fire/Police Station,>50-90K Buildings,C,2.44,90000,50000
411,2030,Fire/Police Station,>30-50K Buildings,D,2.44,50000,30000
412,2030,Fire/Police Station,>20-30K Buildings,E,2.44,50000,20000
413,2030,Fire/Police Station,<20k buildings,F,,20000,0
414,2030,Hospital,>220K Buildings,A,5.12,1000000,220000
415,2030,Hospital,>90-220K Buildings,B,5.12,220000,90000
416,2030,Hospital,>50-90K Buildings,C,5.12,90000,50000
417,2030,Hospital,>30-50K Buildings,D,5.12,50000,30000
418,2030,Hospital,>20-30K Buildings,E,5.12,50000,20000
419,2030,Hospital,<20k buildings,F,,20000,0
420,2030,Hotel,>220K Buildings,A,2.22,1000000,220000
421,2030,Hotel,>90-220K Buildings,B,2.22,220000,90000
422,2030,Hotel,>50-90K Buildings,C,2.22,90000,50000
423,2030,Hotel,>30-50K Buildings,D,2.22,50000,30000
424,2030,Hotel,>20-30K Buildings,E,2.22,50000,20000
425,2030,Hotel,<20k buildings,F,,20000,0
426,2030,K-12 School,>220K Buildings,A,0.98,1000000,220000
427,2030,K-12 School,>90-220K Buildings,B,0.98,220000,90000
428,2030,K-12 School,>50-90K Buildings,C,0.98,90000,50000
429,2030,K-12 School,>30-50K Buildings,D,0.98,50000,30000
430,2030,K-12 School,>20-30K Buildings,E,0.98,50000,20000
431,2030,K-12 School,<20k buildings,F,,20000,0
